ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Subfamily
khk,Khalkha Mongolian,halh1238,,,,48.32,106.29,Mongolic,Eastern Mongolic
bua,Buryat,buri1258,,,,51.83,107.60,Mongolic,Eastern Mongolic
xal,Kalmyk,kalm1243,,,,46.57,45.32,Mongolic,Eastern Mongolic
evn,Evenki,even1259,,,,65.75,105.30,Tungusic,Northern Tungusic
mnc,Manchu,manc1252,,,,47.31,126.56,Tungusic,Manchu-Jurchen
gld,Nanai,nana1257,,,,48.43,134.80,Tungusic,Central Tungusic
ket,Ket,kett1243,,,,63.76,87.55,Yeniseian,Northern Yeniseian
ykg,Northern Yukaghir,nort2745,,,,69.00,155.00,Yukaghir,Northern Yukaghir
yux,Southern Yukaghir,sout2750,,,,65.75,150.83,Yukaghir,Kolymic
itl,Itelmen,itel1242,,,,56.78,156.91,Chukotko-Kamchatkan,Itelmen
ckt,Chukchi,chuk1273,,,,68.64,170.04,Chukotko-Kamchatkan,Chukotian
niv,Nivkh,gily1242,,,,52.59,140.68,Nivkh,Nivkh
ain,Hokkaido Ainu,ainu1240,,,,43.63,142.46,Ainu,Hokkaido-Kuril Ainu
kor,Korean,kore1280,,,,37.50,128.00,Koreanic,Korean
jpn,Japanese,nucl1643,,,,35.00,135.00,Japonic,Japanesic
ale,Aleut,aleu1260,,,,52.12,-174.29,Eskimo-Aleut,Aleut
ess,Central Siberian Yupik,cent2128,,,,63.43,-170.27,Eskimo-Aleut,Eskimo
kal,Kalaallisut,kala1399,,,,69.38,-52.86,Eskimo-Aleut,Eskimo
kan,Kannada,nucl1305,,,,13.59,76.12,Dravidian,South Dravidian
mal,Malayalam,mala1464,,,,9.59,76.77,Dravidian,South Dravidian
tam,Tamil,tami1289,,,,10.52,78.83,Dravidian,South Dravidian
tel,Telugu,telu1262,,,,16.45,78.70,Dravidian,South Dravidian
bsk,Burushaski,buru1296,,,,36.22,74.82,Burushaski,Burushaski
kat,Georgian,nucl1302,,,,41.85,43.79,Kartvelian,Georgian-Zan
eus,Basque,basq1248,,,,43.28,-1.32,Basque,Basque
abk,Abkhaz,abkh1244,,,,43.06,41.16,Abkhaz-Adyge,Abkhaz-Abaza
ady,Adyghe,adyg1241,,,,44.65,40.00,Abkhaz-Adyge,Circassian
ava,Avar,avar1256,,,,41.70,46.56,Nakh-Daghestanian,Daghestanian
ddo,Tsez,dido1241,,,,42.26,45.81,Nakh-Daghestanian,Daghestanian
lbe,Lak,lakk1252,,,,42.13,47.08,Nakh-Daghestanian,Daghestanian
lez,Lezgian,lezg1247,,,,41.52,47.90,Nakh-Daghestanian,Daghestanian
dar,Dargwa,darg1241,,,,42.43,47.44,Nakh-Daghestanian,Daghestanian
che,Chechen,chec1245,,,,43.50,45.50,Nakh-Daghestanian,Nakh
arb,Standard Arabic,stan1318,,,,27.96,43.85,Afro-Asiatic,Semitic
heb,Modern Hebrew,hebr1245,,,,31.11,35.02,Afro-Asiatic,Semitic
cmn,Mandarin Chinese,mand1415,,,,40.02,116.23,Sino-Tibetan,Sinitic
